msec	Engine Speed(rpm)	Airflow Input(v)	Airflow Output(v)	Throttle Position(%)	Knock Sensor 1	Knock Sensor 2	I/J Input Duration	Ignition Timing	Charge Efficiency	Vehicle Speed Input	I/J Input Duty cycle	I/J Output Duty cycle	Airflow Adjustment(%)	Throttle Opening Rate	RPM Change Rate	REMOTE SWITCH	I/J Output Duration	I/J Adjustment Map(%)	Ignition Adjustment Map	
0	835	1.18	1.18	0.0	0	0	2.6	6.0	21	0	1.8	1.8	0.0	0	1u	OFF	2.6	0.0	0.0	
20	835	1.17	1.18	0.2	0	0	2.6	6.0	21	0	1.8	1.8	0.0	0	-2u	OFF	2.6	0.0	0.0	
40	833	1.17	1.17	0.2	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	-4u	OFF	2.6	0.0	0.0	
60	831	1.16	1.16	0.2	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	-4u	OFF	2.6	0.0	0.0	
80	833	1.17	1.17	0.2	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	-2u	OFF	2.6	0.0	0.0	
100	836	1.18	1.18	0.2	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	2u	OFF	2.6	0.0	0.0	
120	836	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	3u	OFF	2.6	0.0	0.0	
140	837	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	4u	OFF	2.6	0.0	0.0	
160	836	1.16	1.16	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	1u	OFF	2.6	0.0	0.0	
180	835	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	-2u	OFF	2.6	0.0	0.0	
200	835	1.18	1.18	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	-1u	OFF	2.6	0.0	0.0	
220	835	1.15	1.15	0.0	0	0	2.6	6.0	19	0	1.8	1.8	0.0	0	0u	OFF	2.6	0.0	0.0	
240	835	1.18	1.18	0.0	0	0	2.6	6.0	21	0	1.8	1.8	0.0	0	0u	OFF	2.6	0.0	0.0	
260	835	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	0u	OFF	2.6	0.0	0.0	
280	834	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	-1u	OFF	2.6	0.0	0.0	
300	833	1.18	1.18	0.0	0	0	2.6	6.0	21	0	1.8	1.8	0.0	0	-2u	OFF	2.6	0.0	0.0	
320	831	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	-2u	OFF	2.6	0.0	0.0	
340	831	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	-3u	OFF	2.6	0.0	0.0	
360	832	1.16	1.16	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	1u	OFF	2.6	0.0	0.0	
380	835	1.19	1.20	0.0	0	0	2.6	6.0	21	0	1.8	1.8	0.0	0	4u	OFF	2.6	0.0	0.0	
400	837	1.16	1.16	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	5u	OFF	2.6	0.0	0.0	
420	837	1.15	1.15	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	2u	OFF	2.6	0.0	0.0	
440	835	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	-2u	OFF	2.6	0.0	0.0	
460	835	1.18	1.18	0.0	0	0	2.5	6.0	20	0	1.7	1.7	0.0	0	-2u	OFF	2.5	0.0	0.0	
480	832	1.17	1.17	0.0	0	0	2.5	6.0	20	0	1.7	1.7	0.0	0	-5u	OFF	2.5	0.0	0.0	
500	831	1.16	1.16	0.0	0	0	2.5	6.0	20	0	1.7	1.7	0.0	0	-4u	OFF	2.5	0.0	0.0	
520	832	1.17	1.17	0.0	0	0	2.5	6.0	20	0	1.7	1.7	0.0	0	-1u	OFF	2.5	0.0	0.0	
540	836	1.18	1.18	0.0	0	0	2.5	6.0	20	0	1.7	1.7	0.0	0	5u	OFF	2.5	0.0	0.0	
560	837	1.17	1.17	0.0	0	0	2.5	6.0	20	0	1.7	1.7	0.0	0	5u	OFF	2.5	0.0	0.0	
580	837	1.17	1.17	0.0	0	0	2.5	6.0	20	0	1.7	1.7	0.0	0	5u	OFF	2.5	0.0	0.0	
600	835	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	-2u	OFF	2.6	0.0	0.0	
620	835	1.17	1.17	0.2	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	-1u	OFF	2.6	0.0	0.0	
640	835	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	0u	OFF	2.6	0.0	0.0	
660	835	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	0u	OFF	2.6	0.0	0.0	
680	834	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.8	1.8	0.0	0	-1u	OFF	2.6	0.0	0.0	
700	832	1.18	1.18	0.0	0	0	2.6	6.0	21	0	1.8	1.8	0.0	0	-3u	OFF	2.6	0.0	0.0	
720	828	1.16	1.16	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	-2u	OFF	2.6	0.0	0.0	
740	828	1.17	1.15	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	-6u	OFF	2.6	0.0	0.0	
760	825	1.17	1.17	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	-7u	OFF	2.6	0.0	0.0	
780	823	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	-5u	OFF	2.6	0.0	0.0	
800	824	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	-2u	OFF	2.6	0.0	0.0	
820	827	1.17	1.17	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	1u	OFF	2.6	0.0	0.0	
840	827	1.16	1.16	0.0	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	3u	OFF	2.6	0.0	0.0	
860	829	1.18	1.17	0.2	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	5u	OFF	2.6	0.0	0.0	
880	828	1.18	1.18	0.0	0	0	2.6	6.0	21	0	1.7	1.7	0.0	0	2u	OFF	2.6	0.0	0.0	
900	828	1.17	1.17	0.2	0	0	2.6	6.0	20	0	1.7	1.7	0.0	0	-1u	OFF	2.6	0.0	0.0	
